method,variant,display_label,benchmark,case_index,cells_per_side,cell_size,source_run,source_commit,canonical_geometry_match,do_c0,num_mixed_cells,num_merged_cells,num_merged_components,c0_adjustment_events,c0_rejection_events,num_c0_bad_joins_before_joint,num_c0_bad_joins_after_joint,num_c0_joint_components,num_c0_joint_components_solved,num_c0_joint_components_failed,num_c0_exact_c1_components,num_c0_conservative_fallback_components,max_c0_relative_area_residual,max_c0_tangent_angle_radians,primitive_count,arc_count,line_count,concave_arc_count,concave_arc_fraction,concave_arc_length_fraction,signed_curvature_arc_length_mean,native_symmetric_hausdorff,native_reconstruction_to_truth,native_truth_to_reconstruction,geometric_curvature_mean_absolute_error,geometric_curvature_rms_error,geometric_curvature_max_absolute_error,geometric_curvature_relative_l1_error,geometric_curvature_reconstructed_length,geometric_curvature_quadrature_samples,production_facet_gap,production_global_relative_area_error
Ours,per-cell circular,Ours (per-cell circular),ellipses,0,32,3.125,ellipse_circular_variants_joint_c0_common_metrics_20260814_per_cell_circular_n32,3054f9163e8ba73bd24decfde92270e8d92c2ca7,True,False,64,0,0,0,0,0,0,0,0,0,0,0,nan,0.0,64,64,0,0,0.0,0.0,0.03962276211246394,0.007686243759298198,0.007686243759298198,0.007286949171084596,0.001062836803133287,0.0016307649774138196,0.006844624899413766,0.026837208077869122,158.6565084240557,1024,0.00331627838906845,nan
Ours,per-cell circular,Ours (per-cell circular),ellipses,1,32,3.125,ellipse_circular_variants_joint_c0_common_metrics_20260814_per_cell_circular_n32,3054f9163e8ba73bd24decfde92270e8d92c2ca7,True,False,62,0,0,0,0,0,0,0,0,0,0,0,nan,0.0,62,62,0,0,0.0,0.0,0.04022304898101017,0.0062330232425772064,0.0062330232425772064,0.005962708228622196,0.0012365569394624748,0.001900730904020902,0.008161082422072738,0.030788313901340264,156.43000415546476,992,0.003554018492216181,nan
Ours,per-cell circular,Ours (per-cell circular),ellipses,2,32,3.125,ellipse_circular_variants_joint_c0_common_metrics_20260814_per_cell_circular_n32,3054f9163e8ba73bd24decfde92270e8d92c2ca7,True,False,62,0,0,0,0,0,0,0,0,0,0,0,nan,0.0,62,62,0,0,0.0,0.0,0.040725018394696,0.011902332187096581,0.011902332187096581,0.011257064712518802,0.0013827770800821741,0.002128722160577644,0.009711498802945785,0.033982039502856005,154.4201482306903,992,0.004464033981152754,nan
Ours,per-cell circular,Ours (per-cell circular),ellipses,3,32,3.125,ellipse_circular_variants_joint_c0_common_metrics_20260814_per_cell_circular_n32,3054f9163e8ba73bd24decfde92270e8d92c2ca7,True,False,60,0,0,0,0,0,0,0,0,0,0,0,nan,0.0,60,60,0,0,0.0,0.0,0.04125784800844661,0.01038495670679101,0.010140371779213477,0.01038495670679101,0.001555995063145504,0.002509282437814757,0.011337954457153576,0.03778367945651811,152.5646750553465,960,0.004783226729420834,nan
Ours,per-cell circular,Ours (per-cell circular),ellipses,4,32,3.125,ellipse_circular_variants_joint_c0_common_metrics_20260814_per_cell_circular_n32,3054f9163e8ba73bd24decfde92270e8d92c2ca7,True,False,62,0,0,0,0,0,0,0,0,0,0,0,nan,0.0,62,62,0,0,0.0,0.0,0.0415565609767347,0.018418249727768395,0.018418249727768395,0.018240802805479496,0.0018375215676449163,0.002953121588598682,0.013831135752400192,0.04412030261060862,150.86085723155998,992,0.006701990613261638,nan
Ours,per-cell circular,Ours (per-cell circular),ellipses,0,64,1.5625,ellipse_circular_variants_joint_c0_common_metrics_20260814_per_cell_circular_n64,3054f9163e8ba73bd24decfde92270e8d92c2ca7,True,False,128,0,0,0,0,0,0,0,0,0,0,0,nan,0.0,128,128,0,0,0.0,0.0,0.03960696552365789,0.0009631848730394884,0.0009631848730394884,0.0009630883453657026,0.0005288176540219284,0.000800365584838954,0.0032809197906574633,0.01335301294689175,158.65422096047482,2048,0.00042530275036137266,nan
Ours,per-cell circular,Ours (per-cell circular),ellipses,1,64,1.5625,ellipse_circular_variants_joint_c0_common_metrics_20260814_per_cell_circular_n64,3054f9163e8ba73bd24decfde92270e8d92c2ca7,True,False,126,0,0,0,0,0,0,0,0,0,0,0,nan,0.0,126,126,0,0,0.0,0.0,0.04016882262741259,0.0010094452500104723,0.0009894192777059137,0.0010094452500104723,0.0005895532836297536,0.000928312387969442,0.004265803607089919,0.014678163147891781,156.43461166155785,2016,0.0004906319866675869,nan
Ours,per-cell circular,Ours (per-cell circular),ellipses,2,64,1.5625,ellipse_circular_variants_joint_c0_common_metrics_20260814_per_cell_circular_n64,3054f9163e8ba73bd24decfde92270e8d92c2ca7,True,False,124,0,0,0,0,0,0,0,0,0,0,0,nan,0.0,124,124,0,0,0.0,0.0,0.04069979240553641,0.001233733941624186,0.001233733941624186,0.0012334538992778581,0.0006869149408435222,0.001096962858065403,0.005174605677156427,0.016881171892000574,154.41345166898512,1984,0.0005647738689812709,nan
Ours,per-cell circular,Ours (per-cell circular),ellipses,3,64,1.5625,ellipse_circular_variants_joint_c0_common_metrics_20260814_per_cell_circular_n64,3054f9163e8ba73bd24decfde92270e8d92c2ca7,True,False,122,0,0,0,0,0,0,0,0,0,0,0,nan,0.0,122,122,0,0,0.0,0.0,0.0412037621217829,0.0017199439204679894,0.0017199439204679894,0.0016415145060596496,0.0008219358854716257,0.0013380471459155472,0.005826414531588012,0.019957838328829636,152.56346646223767,1952,0.000562200084586468,nan
Ours,per-cell circular,Ours (per-cell circular),ellipses,4,64,1.5625,ellipse_circular_variants_joint_c0_common_metrics_20260814_per_cell_circular_n64,3054f9163e8ba73bd24decfde92270e8d92c2ca7,True,False,124,0,0,0,0,0,0,0,0,0,0,0,nan,0.0,124,124,0,0,0.0,0.0,0.041621762689522716,0.0021364467465840647,0.0021364467465840647,0.002133884397285929,0.0009047453642246239,0.0014813247906939084,0.007363778936761267,0.021724213735986656,150.87094370809876,1984,0.0008385222897946481,nan
